Name,ValueinCR,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,InningsBowled,Overs,Maidens,RunsConceded,Wickets
Kuldeep Sen,0.2,,,,,,,,,,,,,,,
Shubham Garhwal,0.2,,,,,,,,,,,,,,,
Anunay Singh,0.2,,,,,,,,,,,,,,,
Virat Kohli,15,207,199,6283,5,42,546,210,37.39,129.94,84,26,41.5,0,368,4
Glenn Maxwell,11,97,93,2018,0,12,166,112,25.22,151.84,35,56,107,0,915,22
Harshal Patel,10.75,63,28,187,0,0,11,11,11,134.53,15,61,210.4,0,1808,78
Wanindu Hasaranga,10.75,2,2,1,0,0,0,0,1,50,,2,6,0,60,0
Josh Hazlewood,7.75,12,0,,0,0,0,0,,0,1,12,45,0,357,12
Faf du Plessis,7,100,93,2935,0,22,265,96,34.94,131.08,66,1,1,0,16,0
Mohammed Siraj,7,50,15,66,0,0,5,2,13.2,86.84,16,50,171.2,4,1437,50
Dinesh Karthik,5.5,213,192,4046,0,19,399,112,25.77,129.72,123,,,,,
Anuj Rawat,3.4,2,1,0,0,0,0,0,0,0,3,,,,,
Shahbaz Ahmed,2.4,13,8,60,0,0,4,2,8.57,111.11,5,8,20,0,136,9
David Willey,2,3,0,,0,0,0,0,,0,2,3,10,0,95,2
Sherfane Rutherford,1,7,7,73,0,0,2,7,14.6,135.18,5,6,6.5,0,59,1
Mahipal Lomror,0.95,11,10,181,0,0,8,9,22.62,119.86,1,6,10,0,74,1
Finn Allen,0.8,,,,,,,,,,,,,,,
Jason Behrendorff,0.75,5,0,,0,0,0,0,,0,,5,19,0,165,5
Siddarth Kaul,0.75,54,12,20,0,0,1,0,5,55.55,8,54,197.3,3,1696,58
Karn Sharma,0.5,68,35,317,0,0,18,14,15.09,115.69,14,66,203.4,1,1610,59
Suyash Prabhudessai,0.3,,,,,,,,,,,,,,,
Chama Milind,0.25,,,,,,,,,,,,,,,
Aneeshwar Gautam,0.2,,,,,,,,,,,,,,,
Akash Deep,0.2,,,,,,,,,,,,,,,
Luvnith Sisodia,0.2,,,,,,,,,,,,,,,
Rohit Sharma,16,213,208,5611,1,40,491,227,31.17,130.39,90,32,56.3,0,453,15
Ishan Kishan,15.25,61,56,1452,0,9,121,74,28.47,136.33,19,,,,,
Jasprit Bumrah,12,106,20,56,0,0,4,1,11.2,96.55,13,106,403.4,5,2997,130
Tim David,8.25,1,1,1,0,0,0,0,1,33.33,,,,,,
Jofra Archer,8,35,23,195,0,0,11,14,15,157.25,9,35,137.3,2,981,46
Suryakumar Yadav,8,115,100,2341,0,13,261,68,28.9,135.71,55,1,1,0,8,0
Kieron Pollard,6,178,160,3268,0,16,212,214,29.98,149.77,96,101,234,0,2055,65
Dewald Brevis,3,,,,,,,,,,,,,,,
Daniel Sams,2.6,5,3,6,0,0,0,0,3,75,3,5,18,0,153,1
Tilak Varma,1.7,,,,,,,,,,,,,,,
Murugan Ashwin,1.6,34,8,23,0,0,1,0,3.83,63.88,7,34,112,0,881,26
Tymal Mills,1.5,5,3,8,0,0,0,1,2.66,72.72,1,5,17.5,0,153,5
Jaydev Unadkat,1.3,86,21,105,0,0,9,3,11.66,109.37,24,85,296,3,2588,85
Riley Meredith,1,5,1,0,0,0,0,0,,0,,5,17,0,169,4
Fabian Allen,0.75,4,3,6,0,0,0,0,6,50,2,3,11,1,90,1
Mayank Markande,0.65,18,8,27,0,0,3,0,9,93.1,3,18,53,0,453,16
Sanjay Yadav,0.5,,,,,,,,,,,,,,,
Basil Thampi,0.3,20,8,32,0,0,1,1,32,91.42,4,20,70.5,0,694,17
Arjun Tendulkar,0.3,,,,,,,,,,,,,,,
Ramandeep Singh,0.2,,,,,,,,,,,,,,,
Anmolpreet Singh,0.2,1,1,16,0,0,2,1,16,114.28,,,,,,
Aryan Juyal,0.2,,,,,,,,,,,,,,,
Arshad Khan,0.2,,,,,,,,,,,,,,,
Rahul Buddhi,0.2,,,,,,,,,,,,,,,
Hrithik Shokeen,0.2,,,,,,,,,,,,,,,
Ravindra Jadeja,16,200,151,2386,0,2,176,85,27.11,128.14,81,171,501.1,2,3816,127
Deepak Chahar,14,63,12,79,0,0,2,6,11.28,138.59,12,63,220.4,6,1722,59
MS Dhoni,12,220,193,4746,0,23,325,219,39.55,135.83,126,,,,,
Moeen Ali,8,34,32,666,0,4,52,42,22.96,146.37,11,27,68.3,0,469,16
Ambati Rayudu,6.75,175,164,3916,1,21,324,149,29.44,127.47,58,,,,,
Ruturaj Gaikwad,6,22,22,839,1,7,80,29,46.61,132.12,10,,,,,
